analysis_id,result_id,contrast_id,hypothesis,dandiset_version,code_version,seed,analysis_tier,inclusion_definition,missingness_stratum,estimate,scale,ci_low,ci_high,confidence_level,ci_method,test_statistic,test_method,p_value,adjusted_p_value,adjustment_method,multiplicity_family,sidedness,n_mice,n_sessions,n_probes,n_units,n_trials,aggregation,bootstrap_id,model_formula,cv_grouping,status,reason
figure_1_behavior,engaged_1_dprime_mouse_mean,engaged_1_dprime,Describe mouse-level loglinear d-prime during engaged_1.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,1.609796037735475,loglinear d-prime,1.381917691057168,1.8622666822627263,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,5991,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,no_reward_late_response_probability_mouse_mean,no_reward_late_response_probability,Describe mouse-level change-response probability during no_reward_late.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.15103385219372645,change-response probability,0.11158030418922749,0.1969665157283293,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,3913,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,no_reward_late_false_alarm_probability_mouse_mean,no_reward_late_false_alarm_probability,Describe mouse-level catch-response probability during no_reward_late.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.06979912982341217,catch-response probability,0.03871077494783922,0.1124053269417502,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,1917,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,no_reward_late_dprime_mouse_mean,no_reward_late_dprime,Describe mouse-level loglinear d-prime during no_reward_late.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.37288671707214016,loglinear d-prime,0.23572623630209313,0.5045727194784173,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,5830,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_2_early_response_probability_mouse_mean,engaged_2_early_response_probability,Describe mouse-level change-response probability during engaged_2_early.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.5612892998796638,change-response probability,0.4735051111564946,0.6514787526466553,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,4637,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_2_early_false_alarm_probability_mouse_mean,engaged_2_early_false_alarm_probability,Describe mouse-level catch-response probability during engaged_2_early.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.11760387463327522,catch-response probability,0.0826854700509939,0.15955807094024574,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,2293,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_2_early_dprime_mouse_mean,engaged_2_early_dprime,Describe mouse-level loglinear d-prime during engaged_2_early.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,1.4154799932652866,loglinear d-prime,1.1411085047375755,1.7001236441495367,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,6930,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_2_late_response_probability_mouse_mean,engaged_2_late_response_probability,Describe mouse-level change-response probability during engaged_2_late.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.5414601961251232,change-response probability,0.45817257898747055,0.6267315948663541,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,3162,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_2_late_false_alarm_probability_mouse_mean,engaged_2_late_false_alarm_probability,Describe mouse-level catch-response probability during engaged_2_late.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.10971732909446974,catch-response probability,0.07856823274851092,0.1484764186900627,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,1570,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_2_late_dprime_mouse_mean,engaged_2_late_dprime,Describe mouse-level loglinear d-prime during engaged_2_late.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,1.3123299167159492,loglinear d-prime,1.0144280391689704,1.628613854261662,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,4732,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_1_raw_lick_online_label_agreement,engaged_1_response_label_agreement,Raw-lick responses agree with online outcome labels in the reward-available engaged_1 block.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.9940926354290589,agreement probability,0.9916280413916729,0.9963821209518083,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,5987,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,engaged_2_raw_lick_online_label_agreement,engaged_2_response_label_agreement,Raw-lick responses agree with online outcome labels in the reward-available engaged_2 block.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,1051,exploratory,all technically valid sessions with an estimable block metric; no behavioral-threshold selection,complete technically valid behavior,0.9930396892623421,agreement probability,0.9899610826216709,0.9956408977659881,0.95,percentile bootstrap over mice,,,,,,,,27,99,,,11652,equal-session mean within mouse; equal-mouse mean,seed=1051;n_resamples=10000,,,pass,
figure_1_behavior,session_attrition_inventory,attrition_inventory,Describe cumulative session retention at the inventory stage.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,,exploratory,all sessions in the immutable DANDI session inventory,complete technically valid behavior,1.0,fraction of session inventory,,,,,,,,,,,,27,99,,,,cumulative session attrition,,,,pass,
figure_1_behavior,session_attrition_technically_valid,attrition_technically_valid,Describe cumulative session retention at the technically_valid stage.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,,exploratory,all sessions in the immutable DANDI session inventory,complete technically valid behavior,1.0,fraction of session inventory,,,,,,,,,,,,27,99,,,,cumulative session attrition,,,,pass,
figure_1_behavior,session_attrition_reversible_gating_estimable,attrition_reversible_gating_estimable,Describe cumulative session retention at the reversible_gating_estimable stage.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,,exploratory,all sessions in the immutable DANDI session inventory,complete technically valid behavior,1.0,fraction of session inventory,,,,,,,,,,,,27,99,,,,cumulative session attrition,,,,pass,
figure_1_behavior,session_attrition_threshold_selected,attrition_threshold_selected,Describe cumulative session retention at the threshold_selected stage.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,,exploratory,all sessions in the immutable DANDI session inventory,complete technically valid behavior,0.3434343434343434,fraction of session inventory,,,,,,,,,,,,18,34,,,,cumulative session attrition,,,,pass,
